Reference area,Frequency of observation,Measure,Unit of measure,Price base,TIME_PERIOD,OBS_VALUE
Denmark,Annual,Gross domestic product,Percent per annum,Constant prices,2003,0.441090824
Denmark,Annual,Gross domestic product,Percent per annum,Constant prices,2004,2.776352091
Denmark,Annual,Gross domestic product,Percent per annum,Constant prices,2005,2.359608818
Denmark,Annual,Gross domestic product,Percent per annum,Constant prices,2006,3.816487461
Denmark,Annual,Gross domestic product,Percent per annum,Constant prices,2007,0.987173876
Denmark,Annual,Gross domestic product,Percent per annum,Constant prices,2008,-0.417178517
Denmark,Annual,Gross domestic product,Percent per annum,Constant prices,2009,-4.974478999
Denmark,Annual,Gross domestic product,Percent per annum,Constant prices,2010,1.582897254
Denmark,Annual,Gross domestic product,Percent per annum,Constant prices,2011,1.310803774
Denmark,Annual,Gross domestic product,Percent per annum,Constant prices,2012,-0.005432522
Denmark,Annual,Gross domestic product,Percent per annum,Constant prices,2013,1.392673637
Denmark,Annual,Gross domestic product,Percent per annum,Constant prices,2014,1.277999543
Denmark,Annual,Gross domestic product,Percent per annum,Constant prices,2015,2.104414664
Denmark,Annual,Gross domestic product,Percent per annum,Constant prices,2016,3.073045536
Denmark,Annual,Gross domestic product,Percent per annum,Constant prices,2017,3.056477377
Denmark,Annual,Gross domestic product,Percent per annum,Constant prices,2018,1.860007402
Denmark,Annual,Gross domestic product,Percent per annum,Constant prices,2019,1.711400877
Denmark,Annual,Gross domestic product,Percent per annum,Constant prices,2020,-1.780105926
Denmark,Annual,Gross domestic product,Percent per annum,Constant prices,2021,7.382066193
Denmark,Annual,Gross domestic product,Percent per annum,Constant prices,2022,1.54017313
Denmark,Annual,Gross domestic product,Percent per annum,Constant prices,2023,2.495184347
Denmark,Annual,Gross domestic product,Percent per annum,Constant prices,2024,3.566273148
Estonia,Annual,Gross domestic product,Percent per annum,Constant prices,1996,4.943017874
Estonia,Annual,Gross domestic product,Percent per annum,Constant prices,1997,13.05001174
Estonia,Annual,Gross domestic product,Percent per annum,Constant prices,1998,4.339834949
Estonia,Annual,Gross domestic product,Percent per annum,Constant prices,1999,-0.425026401
Estonia,Annual,Gross domestic product,Percent per annum,Constant prices,2000,10.08763599
Estonia,Annual,Gross domestic product,Percent per annum,Constant prices,2001,5.880745943
Estonia,Annual,Gross domestic product,Percent per annum,Constant prices,2002,6.933000657
Estonia,Annual,Gross domestic product,Percent per annum,Constant prices,2003,7.596302603
Estonia,Annual,Gross domestic product,Percent per annum,Constant prices,2004,6.800699893
Estonia,Annual,Gross domestic product,Percent per annum,Constant prices,2005,9.523052075
Estonia,Annual,Gross domestic product,Percent per annum,Constant prices,2006,9.762571906
Estonia,Annual,Gross domestic product,Percent per annum,Constant prices,2007,7.570920866
Estonia,Annual,Gross domestic product,Percent per annum,Constant prices,2008,-5.125313386
Estonia,Annual,Gross domestic product,Percent per annum,Constant prices,2009,-14.63022096
